param,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
Intercept,0.024,0.012,-0.003,0.047,0.0,0.0,1129.0,2435.0,1.0
age_c,-0.005,0.0,-0.006,-0.005,0.0,0.0,3747.0,3574.0,1.0
log_week,-0.012,0.007,-0.025,0.002,0.0,0.0,7124.0,3392.0,1.0
industry[Athlete],-0.035,0.011,-0.056,-0.015,0.0,0.0,3573.0,3742.0,1.0
industry[Model],-0.102,0.025,-0.152,-0.055,0.0,0.0,5194.0,3802.0,1.0
industry[Musician],0.006,0.012,-0.016,0.029,0.0,0.0,3842.0,3541.0,1.0
industry[Other],-0.067,0.023,-0.11,-0.02,0.0,0.0,6110.0,3708.0,1.0
industry[Politician],-0.136,0.042,-0.221,-0.054,0.001,0.001,6110.0,3931.0,1.0
industry[Reality TV Star],-0.062,0.012,-0.084,-0.039,0.0,0.0,4082.0,3750.0,1.0
industry[TV/Host],-0.083,0.019,-0.12,-0.044,0.0,0.0,6011.0,3615.0,1.0
