season,mean,hdi_lower,hdi_upper
1,0.0002816242336086871,-0.012660314671598463,0.013721233116902183
2,0.001268022984706601,-0.009668203874036113,0.016484060025268116
3,-0.0009083981418915451,-0.01428538497578949,0.010209937126884703
4,0.001960281264721989,-0.00883789975151799,0.018734904526198616
5,-0.0007277775320169676,-0.014352611574843344,0.011439949707276839
6,-7.4181171016658e-05,-0.012721174139710995,0.01270412409027441
7,0.000516153789280982,-0.010694160336156937,0.013496376576879375
8,-7.478039208900985e-05,-0.012072650598489353,0.01233615370192678
9,0.000671935649318576,-0.010791760216390537,0.01403689423683146
10,0.0007962286454621597,-0.010319071239176913,0.014478764948574939
11,-0.00036251759845231724,-0.013363624341525488,0.01170901687526163
12,0.001016995180856673,-0.01021957648914334,0.014670042056726089
13,-0.0007456987518538589,-0.013751072607132892,0.011009701331129019
14,-0.00045396250029778093,-0.013717609300536069,0.011529283610827203
15,-0.003075232653284561,-0.022400738276319884,0.006853458987473705
16,-0.0018441088447840156,-0.01803123684473797,0.009103382216576956
17,0.0006183387265641038,-0.011081885350527686,0.01464653242787632
18,-0.00038171172881297115,-0.013148871132570022,0.011797292134044618
19,-0.00019870184900563323,-0.01373364958658497,0.012650249984453046
20,-0.0012982726883749081,-0.015938905826722298,0.00970086383489416
21,-0.00041570511855232306,-0.013298278672531872,0.011792638082799177
22,0.0015577061240926336,-0.008866476691437381,0.016583581749940214
23,-6.846629621137934e-05,-0.012522799534859366,0.011381229096684134
24,-0.0012453409588068813,-0.016648903027131113,0.009828326843860319
25,-0.0019935019578358405,-0.01775609473496068,0.008108373791648584
26,-0.0006261817232446298,-0.0137965886921889,0.011490632078734896
27,-0.0013236785402834456,-0.015658405457895926,0.009711461428074346
28,0.0001971425482497073,-0.011757157386416193,0.01282144824200497
29,0.0023424506002532332,-0.008011736948098551,0.019014241088807716
30,-0.00098623374503446,-0.01463604403103905,0.009920554131894813
31,0.0021491199185878444,-0.007510378916996315,0.01710584431128767
32,0.0016789543643308635,-0.008871044379852859,0.016715506557184134
33,0.0008695118111826886,-0.010175631877549047,0.014663188888615286
34,0.0009550083749170134,-0.01039711200240841,0.015646393433177662
