celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,_source_file,week,judge1_score,judge2_score,judge3_score,judge4_score,judge1_score_raw,judge2_score_raw,judge3_score_raw,judge4_score_raw,judge1_out_of_range,judge2_out_of_range,judge3_out_of_range,judge4_out_of_range,n_judges_reported,n_judges_present,n_judges_reported_raw,has_partial_na_raw,is_all_na,is_all_zero,is_present,result_type,is_withdrew_result,zero_score_conflict,week_total_score,week_total_score_raw,week_avg_score,week_max_possible,week_score_percentage,expected_judges_reported_raw,unexpected_missing_scores,combine_method,week_score_rank,week_score_share,last_week_scored,season_final_week,final_week_n_performers,expected_to_perform_in_finale,expected_last_week,is_competing_week,is_missing_finale_scores,is_gap_week,week_score_rank_discrepancy,is_no_elimination,is_double_elimination,n_active,final_week,is_final_week,is_no_elim_from_results,is_no_elimination_any,weeks_since_exit,exclude_from_fan_vote_inference,celebrity_industry_clean,celebrity_homecountry_clean,celebrity_homestate_clean,celebrity_homestate_abbr,is_foreign,celebrity_age_raw,age_outlier,is_withdrawn,is_withdrawn_inferred,exit_week_from_results,computed_last_week,exit_week_mismatch,partner_seasons,partner_contestants,partner_wins,partner_avg_placement,partner_avg_last_week,partner_avg_season_score_pct,partner_seasons_prior,partner_contestants_prior,partner_wins_prior,partner_avg_placement_prior,partner_avg_last_week_prior,partner_avg_season_score_pct_prior
AJ McLean,Cheryl Burke,Singer/Rapper,Florida,United States,42.0,29,Eliminated Week 9,7,剩下赛季（排名结合法）.csv,1,6.0,6.0,6.0,,6.0,6.0,6.0,,False,False,False,False,3,3,3,True,False,False,True,eliminated,False,False,18.0,18.0,6.0,30.0,0.6,3,False,rank,5.0,0.075,9,11,3,False,9,True,False,False,-2.0,True,False,14,11,False,False,True,,False,Musician,United States,Florida,FL,False,42,False,False,False,9,9,False,18,17,2,6.388888888888889,7.055555555555555,0.7307557335390946,15,14,2,6.133333333333334,6.933333333333334,0.7320581641975308
AJ McLean,Cheryl Burke,Singer/Rapper,Florida,United States,42.0,29,Eliminated Week 9,7,剩下赛季（排名结合法）.csv,2,7.0,6.0,6.0,,7.0,6.0,6.0,,False,False,False,False,3,3,3,True,False,False,True,eliminated,False,False,19.0,19.0,6.333333333333333,30.0,0.6333333333333333,3,False,rank,4.0,0.07569721115537849,9,11,3,False,9,True,False,False,-3.0,False,False,14,11,False,False,False,,False,Musician,United States,Florida,FL,False,42,False,False,False,9,9,False,18,17,2,6.388888888888889,7.055555555555555,0.7307557335390946,15,14,2,6.133333333333334,6.933333333333334,0.7320581641975308
AJ McLean,Cheryl Burke,Singer/Rapper,Florida,United States,42.0,29,Eliminated Week 9,7,剩下赛季（排名结合法）.csv,3,7.0,7.0,7.0,,7.0,7.0,7.0,,False,False,False,False,3,3,3,True,False,False,True,eliminated,False,False,21.0,21.0,7.0,30.0,0.7,3,False,rank,6.0,0.08139534883720931,9,11,3,False,9,True,False,False,-1.0,False,False,13,11,False,False,False,,False,Musician,United States,Florida,FL,False,42,False,False,False,9,9,False,18,17,2,6.388888888888889,7.055555555555555,0.7307557335390946,15,14,2,6.133333333333334,6.933333333333334,0.7320581641975308
AJ McLean,Cheryl Burke,Singer/Rapper,Florida,United States,42.0,29,Eliminated Week 9,7,剩下赛季（排名结合法）.csv,4,8.0,8.0,8.0,,8.0,8.0,8.0,,False,False,False,False,3,3,3,True,False,False,True,eliminated,False,False,24.0,24.0,8.0,30.0,0.8,3,False,rank,2.0,0.08695652173913043,9,11,3,False,9,True,False,False,-5.0,False,False,12,11,False,False,False,,False,Musician,United States,Florida,FL,False,42,False,False,False,9,9,False,18,17,2,6.388888888888889,7.055555555555555,0.7307557335390946,15,14,2,6.133333333333334,6.933333333333334,0.7320581641975308
AJ McLean,Cheryl Burke,Singer/Rapper,Florida,United States,42.0,29,Eliminated Week 9,7,剩下赛季（排名结合法）.csv,5,8.0,8.0,8.0,,8.0,8.0,8.0,,False,False,False,False,3,3,3,True,False,False,True,eliminated,False,False,24.0,24.0,8.0,30.0,0.8,3,False,rank,4.0,0.09230769230769231,9,11,3,False,9,True,False,False,-3.0,False,False,11,11,False,False,False,,False,Musician,United States,Florida,FL,False,42,False,False,False,9,9,False,18,17,2,6.388888888888889,7.055555555555555,0.7307557335390946,15,14,2,6.133333333333334,6.933333333333334,0.7320581641975308
AJ McLean,Cheryl Burke,Singer/Rapper,Florida,United States,42.0,29,Eliminated Week 9,7,剩下赛季（排名结合法）.csv,6,9.0,9.0,9.0,,9.0,9.0,9.0,,False,False,False,False,3,3,3,True,False,False,True,eliminated,False,False,27.0,27.0,9.0,30.0,0.9,3,False,rank,1.0,0.11203319502074689,9,11,3,False,9,True,False,False,-6.0,False,False,10,11,False,False,False,,False,Musician,United States,Florida,FL,False,42,False,False,False,9,9,False,18,17,2,6.388888888888889,7.055555555555555,0.7307557335390946,15,14,2,6.133333333333334,6.933333333333334,0.7320581641975308
AJ McLean,Cheryl Burke,Singer/Rapper,Florida,United States,42.0,29,Eliminated Week 9,7,剩下赛季（排名结合法）.csv,7,9.0,8.0,9.0,,9.0,8.0,9.0,,False,False,False,False,3,3,3,True,False,False,True,eliminated,False,False,26.0,26.0,8.666666666666666,30.0,0.8666666666666667,3,False,rank,5.0,0.11016949152542373,9,11,3,False,9,True,False,False,-2.0,False,True,9,11,False,False,False,,False,Musician,United States,Florida,FL,False,42,False,False,False,9,9,False,18,17,2,6.388888888888889,7.055555555555555,0.7307557335390946,15,14,2,6.133333333333334,6.933333333333334,0.7320581641975308
AJ McLean,Cheryl Burke,Singer/Rapper,Florida,United States,42.0,29,Eliminated Week 9,7,剩下赛季（排名结合法）.csv,8,9.0,9.0,9.0,,9.0,9.0,9.0,,False,False,False,False,3,3,3,True,False,False,True,eliminated,False,False,27.0,27.0,9.0,30.0,0.9,3,False,rank,4.0,0.13917554469184473,9,11,3,False,9,True,False,False,-3.0,False,False,7,11,False,False,False,,False,Musician,United States,Florida,FL,False,42,False,False,False,9,9,False,18,17,2,6.388888888888889,7.055555555555555,0.7307557335390946,15,14,2,6.133333333333334,6.933333333333334,0.7320581641975308
AJ McLean,Cheryl Burke,Singer/Rapper,Florida,United States,42.0,29,Eliminated Week 9,7,剩下赛季（排名结合法）.csv,9,7.6666,8.6666,8.6666,,7.6666,8.6666,8.6666,,False,False,False,False,3,3,3,True,False,False,True,eliminated,False,False,24.9998,24.9998,8.333266666666667,30.0,0.8333266666666667,3,False,rank,5.0,0.1533737588896142,9,11,3,False,9,True,False,False,-2.0,False,False,6,11,False,False,False,,False,Musician,United States,Florida,FL,False,42,False,False,False,9,9,False,18,17,2,6.388888888888889,7.055555555555555,0.7307557335390946,15,14,2,6.133333333333334,6.933333333333334,0.7320581641975308
AJ McLean,Cheryl Burke,Singer/Rapper,Florida,United States,42.0,29,Eliminated Week 9,7,剩下赛季（排名结合法）.csv,10,0.0,0.0,0.0,,0.0,0.0,0.0,,False,False,False,False,3,0,3,True,False,True,False,eliminated,False,False,,,,,,3,False,rank,,,9,11,3,False,9,False,False,False,,False,True,5,11,False,False,False,,False,Musician,United States,Florida,FL,False,42,False,False,False,9,9,False,18,17,2,6.388888888888889,7.055555555555555,0.7307557335390946,15,14,2,6.133333333333334,6.933333333333334,0.7320581641975308
AJ McLean,Cheryl Burke,Singer/Rapper,Florida,United States,42.0,29,Eliminated Week 9,7,剩下赛季（排名结合法）.csv,11,0.0,0.0,0.0,,0.0,0.0,0.0,,False,False,False,False,3,0,3,True,False,True,False,eliminated,False,False,,,,,,3,False,rank,,,9,11,3,False,9,False,False,False,,False,False,3,11,True,False,False,,False,Musician,United States,Florida,FL,False,42,False,False,False,9,9,False,18,17,2,6.388888888888889,7.055555555555555,0.7307557335390946,15,14,2,6.133333333333334,6.933333333333334,0.7320581641975308
Aaron Carter,Karina Smirnoff,Singer/Rapper,Florida,United States,21.0,9,Eliminated Week 8,5,3-27赛季（百分比结合法）.csv,1,10.3333,11.3333,10.3333,,10.3333,11.3333,10.3333,,False,False,False,False,3,3,3,True,False,False,True,eliminated,False,False,31.999899999999997,31.999899999999997,10.666633333333332,30.0,1.0666633333333333,3,False,percent,1.0,0.09384170672791421,8,10,2,False,8,True,False,False,-4.0,False,True,14,10,False,False,False,,False,Musician,United States,Florida,FL,False,21,False,False,False,8,8,False,16,16,1,6.125,7.0625,0.7436263869423401,6,6,0,6.666666666666667,6.333333333333333,0.6818981111111112
