season,disagreement_rate,rank_more_fan_friendly_rate_if_disagree,rank_more_judge_friendly_rate_if_disagree
1,0.4606333333333333,0.004609857800081354,0.9953901421999186
2,0.4009833333333333,0.01738936631455586,0.9826106336854442
3,0.25111666666666665,0.05162594014587413,0.7817073931874591
4,0.26675,0.08056337672830846,0.9194366232716916
5,0.4128857142857143,0.02650193367016576,0.9734980663298343
6,0.3028625,0.013151293704302403,0.9868487062956977
7,0.28953333333333336,0.040110659761009006,0.9598893402389911
8,0.2924857142857143,0.06746959656307837,0.9325304034369216
9,0.28275,0.0066586206338241005,0.993341379366176
10,0.22553333333333334,0.039168828599119514,0.9608311714008805
11,0.3456,0.04453076732813165,0.9554692326718683
12,0.2560857142857143,0.027850919655436995,0.9721490803445629
13,0.31105,0.025590857130853496,0.9744091428691465
14,0.3636,0.020925104047544548,0.9790748959524554
15,0.46487999999999996,0.010742588280394,0.989257411719606
16,0.22150000000000003,0.10200110197273858,0.8979988980272614
17,0.44401428571428575,0.021694576693987853,0.9783054233060121
18,0.36585,0.0033858526698600636,0.9966141473301399
19,0.28440000000000004,0.05842013965983835,0.9415798603401616
20,0.47272857142857144,0.01196143597454456,0.9880385640254554
21,0.391475,0.014683369947040064,0.9853166300529599
22,0.430225,0.046730317698233305,0.9532696823017667
23,0.4330714285714286,0.0030388596168315885,0.9969611403831683
24,0.47951666666666665,0.02112918010291907,0.9788708198970809
25,0.30052,0.00975727777326009,0.9902427222267398
27,0.44245,0.02392654433371939,0.9760734556662806
28,0.46603333333333335,0.018106433727592578,0.9818935662724074
29,0.43598571428571425,0.011032117177314059,0.9889678828226859
30,0.46280000000000004,0.10375977921616868,0.8962402207838314
31,0.42144000000000004,0.008353020219320249,0.9916469797806797
32,0.3395166666666667,0.018799728042712783,0.9812002719572872
33,0.46552,0.013147235255540351,0.9868527647444596
34,0.5214714285714286,0.006279750157094784,0.9937202498429052
